,ROI,p,p_FDR,stat
0,lh_bankssts,0.5971402859714029,0.8799962109052253,-0.0005881623145847824
1,lh_caudalanteriorcingulate,0.04739526047395261,0.44235576442355773,0.002921727770004521
2,lh_cuneus,0.3745625437456254,0.7924607539246076,0.0010458312813416935
3,lh_entorhinal,0.9069093090690931,0.9521779529364136,0.0001460059091374019
4,lh_fusiform,0.41955804419558046,0.8009744480097446,-0.0012386502904288034
5,lh_inferiorparietal,0.0933906609339066,0.5603439656034397,-0.0026541114215423087
6,lh_inferiortemporal,0.8021197880211979,0.9521779529364136,0.00048308265990153025
7,lh_isthmuscingulate,0.3213678632136786,0.7498583474985835,-0.0015195907136084878
8,lh_lateraloccipital,0.2983701629837016,0.7498583474985835,0.0014848379319589303
9,lh_lateralorbitofrontal,0.6361363863613638,0.9079634409440411,0.0008542977451999282
10,lh_lingual,0.20877912208779123,0.7498583474985835,0.0021191947305637913
11,lh_medialorbitofrontal,0.7223277672232776,0.9386384438479229,0.00042991842821918196
12,lh_middletemporal,0.013998600139986002,0.19598040195980404,-0.005225862431784996
13,lh_parahippocampal,0.07699230076992301,0.5181635682585587,0.0023972830393837697
14,lh_paracentral,0.23537646235376464,0.7498583474985835,-0.0013981922211063853
15,lh_parsopercularis,0.5281471852814719,0.8293392882933929,0.0007948186608004639
16,lh_parsorbitalis,0.27577242275772423,0.7498583474985835,0.0012022233283050217
17,lh_parstriangularis,0.8955104489551045,0.9521779529364136,-0.0001506444650659841
18,lh_pericalcarine,0.0007999200079992001,0.05879412058794121,0.004159796389132522
19,lh_postcentral,0.023997600239976002,0.287971202879712,-0.002425307289197283
20,lh_posteriorcingulate,0.6377362263773623,0.9079634409440411,-0.0006937035624739636
21,lh_precentral,0.5853414658534146,0.8780121987801219,-0.0007053854357746414
22,lh_precuneus,0.10318968103189681,0.5778622137786221,-0.0017687161207930908
23,lh_rostralanteriorcingulate,0.7263273672632736,0.9386384438479229,-0.0004211277677359862
24,lh_rostralmiddlefrontal,0.787921207879212,0.9521779529364136,-0.000402217977060023
25,lh_superiorfrontal,0.31316868313168683,0.7498583474985835,-0.0024519798404018765
26,lh_superiorparietal,0.16478352164783522,0.7156084391560844,0.001844178394477829
27,lh_superiortemporal,0.27957204279572045,0.7498583474985835,-0.002071936347265886
28,lh_supramarginal,0.8833116688331167,0.9521779529364136,0.00022872086858561486
29,lh_frontalpole,0.2957704229577042,0.7498583474985835,0.0012455114354859307
30,lh_temporalpole,0.791920807919208,0.9521779529364136,0.0003860097813790002
31,lh_transversetemporal,0.0037996200379962005,0.07979202079792021,0.002676239215734114
32,lh_insula,0.23557644235576441,0.7498583474985835,0.002105345082356394
33,rh_bankssts,0.8779122087791221,0.9521779529364136,-0.0001940381757761277
34,rh_caudalanteriorcingulate,0.8255174482551745,0.9521779529364136,-0.00022857423657340892
35,rh_cuneus,0.2715728427157284,0.7498583474985835,-0.0016055053102409138
36,rh_entorhinal,0.46695330466953305,0.813565702253304,-0.0012416108160699874
37,rh_fusiform,0.9295070492950704,0.9521779529364136,-0.0001549023003381278
38,rh_inferiorparietal,0.8843115688431157,0.9521779529364136,-0.0002019012261797789
39,rh_inferiortemporal,0.40535946405359463,0.8009744480097446,-0.0011865268547627782
40,rh_isthmuscingulate,0.6975302469753024,0.9335066493350666,-0.0005730384380105216
41,rh_lateraloccipital,0.958904109589041,0.9619038096190381,-2.758042221547713e-05
42,rh_lateralorbitofrontal,0.37736226377362264,0.7924607539246076,0.001720306177169409
43,rh_lingual,0.696930306969303,0.9335066493350666,0.000490867322922299
44,rh_medialorbitofrontal,0.28777122287771223,0.7498583474985835,0.0017244580826087322
45,rh_middletemporal,0.7575242475752425,0.9521779529364136,0.0006387822661107507
46,rh_parahippocampal,0.46015398460153983,0.813565702253304,-0.0010383438641799912
47,rh_paracentral,0.0021997800219978004,0.06159384061593841,-0.003484657889116195
48,rh_parsopercularis,0.6831316868313169,0.9335066493350666,0.0008742697144166062
49,rh_parsorbitalis,0.16598340165983402,0.7156084391560844,0.0011662140242425303
50,rh_parstriangularis,0.14158584141585842,0.7156084391560844,-0.002221306285615548
51,rh_pericalcarine,0.056394360563943605,0.4737126287371263,0.002181030558643918
52,rh_postcentral,0.008799120087991202,0.1478252174782522,-0.0033091857164516732
53,rh_posteriorcingulate,0.8799120087991201,0.9521779529364136,-0.00028666949287727526
54,rh_precentral,0.9267073292670733,0.9521779529364136,0.00013400974142660678
55,rh_precuneus,0.0013998600139986002,0.05879412058794121,-0.004709576303850946
56,rh_rostralanteriorcingulate,0.7001299870012999,0.9335066493350666,-0.0005008573973013034
57,rh_rostralmiddlefrontal,0.7729227077292271,0.9521779529364136,0.00039925398836367955
58,rh_superiorfrontal,0.40435956404359563,0.8009744480097446,-0.0017487448991100607
59,rh_superiorparietal,0.25777422257774224,0.7498583474985835,0.0015225187416936098
60,rh_superiortemporal,0.1703829617038296,0.7156084391560844,-0.002147420758516809
61,rh_supramarginal,0.0801919808019198,0.5181635682585587,0.002425123085819299
62,rh_frontalpole,0.43275672432756723,0.8078125520781255,-0.001054274098917946
63,rh_temporalpole,0.47315268473152683,0.813565702253304,-0.0008070421788001813
64,rh_transversetemporal,0.270972902709729,0.7498583474985835,0.001231857115721757
65,rh_insula,0.35176482351764826,0.7775853993548015,0.0014530208598983897
66,LEFT-CEREBELLUM-CORTEX,0.042995700429957005,0.44235576442355773,-0.004223010483608609
67,LEFT-THALAMUS-PROPER,0.5555444455554445,0.8484678804846788,0.0008413198518876864
68,LEFT-CAUDATE,0.48735126487351266,0.813565702253304,0.0008766722715135324
69,LEFT-PUTAMEN,0.8197180281971803,0.9521779529364136,-0.00032990862255267983
70,LEFT-PALLIDUM,0.49395060493950604,0.813565702253304,-0.00044617070780676553
71,LEFT-HIPPOCAMPUS,0.5331466853314668,0.8293392882933929,-0.0011069892206842964
72,LEFT-AMYGDALA,0.2313768623137686,0.7498583474985835,-0.0012387838998612465
73,LEFT-ACCUMBENS-AREA,0.525947405259474,0.8293392882933929,-0.0007090898948657054
74,LEFT-VENTRALDC,0.9067093290670933,0.9521779529364136,0.00012176297808593698
75,RIGHT-CEREBELLUM-CORTEX,0.9619038096190381,0.9619038096190381,4.808542888968615e-05
76,RIGHT-THALAMUS-PROPER,0.48735126487351266,0.813565702253304,0.00105162404211364
77,RIGHT-CAUDATE,0.25877412258774124,0.7498583474985835,-0.0012502686846023008
78,RIGHT-PUTAMEN,0.8917108289171083,0.9521779529364136,-0.0001676196547088643
79,RIGHT-PALLIDUM,0.3377662233776622,0.7668206152357736,-0.0009680378799550773
