,ROI,p,p_FDR,stat
0,lh_bankssts,0.6777322267773223,0.9126212378762124,-0.007971428609535591
1,lh_caudalanteriorcingulate,0.49175082491750827,0.889238735700898,-0.014718211170934192
2,lh_cuneus,0.3047695230476952,0.8675399126753991,-0.021200712162024904
3,lh_entorhinal,0.3461653834616538,0.8675399126753991,-0.024316181463693076
4,lh_fusiform,0.6645335466453355,0.9126212378762124,0.0071151657451291594
5,lh_inferiorparietal,0.28817118288171184,0.8675399126753991,0.016988803621588167
6,lh_inferiortemporal,0.938906109389061,0.938906109389061,-0.0014311227144876426
7,lh_isthmuscingulate,0.45595440455954406,0.8675399126753991,0.01165754423424048
8,lh_lateraloccipital,0.5187481251874813,0.8968246032539602,-0.013508097284702147
9,lh_lateralorbitofrontal,0.20977902209779023,0.8675399126753991,0.01863489626506465
10,lh_lingual,0.43075692430756923,0.8675399126753991,-0.014277502515747997
11,lh_medialorbitofrontal,0.38116188381161886,0.8675399126753991,0.012316755448965377
12,lh_middletemporal,0.45395460453954606,0.8675399126753991,0.010598464068637736
13,lh_parahippocampal,0.40735926407359263,0.8675399126753991,-0.01662878556550096
14,lh_paracentral,0.35156484351564843,0.8675399126753991,0.02255303248774221
15,lh_parsopercularis,0.6113388661133886,0.9126212378762124,-0.0097200533547116
16,lh_parsorbitalis,0.7805219478052194,0.9355008161155716,-0.0056141737003310155
17,lh_parstriangularis,0.5715428457154285,0.9126212378762124,0.010767577357256197
18,lh_pericalcarine,0.003999600039996,0.32756724327567244,-0.06629334182975133
19,lh_postcentral,0.23837616238376164,0.8675399126753991,0.024392470137024835
20,lh_posteriorcingulate,0.6133386661333866,0.9126212378762124,0.008188379144625557
21,lh_precentral,0.6523347665233477,0.9126212378762124,0.008394328081962055
22,lh_precuneus,0.34996500349965004,0.8675399126753991,0.014275175782855531
23,lh_rostralanteriorcingulate,0.35136486351364865,0.8675399126753991,0.015156185899355856
24,lh_rostralmiddlefrontal,0.8567143285671432,0.938906109389061,0.00398569541247995
25,lh_superiorfrontal,0.08399160083991601,0.8548478485484785,0.025809448755530484
26,lh_superiorparietal,0.8979102089791021,0.938906109389061,0.002734633685229859
27,lh_superiortemporal,0.6953304669533047,0.9126212378762124,0.005637301346004264
28,lh_supramarginal,0.9245075492450755,0.938906109389061,0.001343873706213361
29,lh_frontalpole,0.25617438256174385,0.8675399126753991,-0.02761695273449416
30,lh_temporalpole,0.5231476852314768,0.8968246032539602,0.01702657096244864
31,lh_transversetemporal,0.28377162283771623,0.8675399126753991,-0.023659770675844793
32,lh_insula,0.3467653234676532,0.8675399126753991,-0.014504209052826678
33,rh_bankssts,0.6813318668133187,0.9126212378762124,0.007828514889396399
34,rh_caudalanteriorcingulate,0.8907109289071092,0.938906109389061,-0.0028935881213661974
35,rh_cuneus,0.712928707129287,0.9190717291907173,0.007732624297957291
36,rh_entorhinal,0.11938806119388061,0.8675399126753991,-0.040415045131921346
37,rh_fusiform,0.9213078692130787,0.938906109389061,0.002058758203382194
38,rh_inferiorparietal,0.20537946205379462,0.8675399126753991,-0.02050497293389275
39,rh_inferiortemporal,0.9165083491650835,0.938906109389061,0.002149932512487296
40,rh_isthmuscingulate,0.8665133486651335,0.938906109389061,0.0021244852911298517
41,rh_lateraloccipital,0.8181181881811819,0.938906109389061,0.0045159242820752565
42,rh_lateralorbitofrontal,0.9293070692930707,0.938906109389061,-0.001200327721114336
43,rh_lingual,0.7557244275572442,0.9200123465914278,-0.006234158222092945
44,rh_medialorbitofrontal,0.622937706229377,0.9126212378762124,0.007672396797841596
45,rh_middletemporal,0.49755024497550243,0.889238735700898,-0.009005194846576803
46,rh_parahippocampal,0.262973702629737,0.8675399126753991,0.0233479950601454
47,rh_paracentral,0.06879312068793121,0.8548478485484785,0.042689945209738345
48,rh_parsopercularis,0.41875812418758124,0.8675399126753991,-0.01967967398393411
49,rh_parsorbitalis,0.7221277872212779,0.9190717291907173,-0.008274651372896291
50,rh_parstriangularis,0.6267373262673732,0.9126212378762124,0.010021305513055134
51,rh_pericalcarine,0.09159084091590841,0.8548478485484785,-0.038853501252583134
52,rh_postcentral,0.22177782221777823,0.8675399126753991,0.027215354566334504
53,rh_posteriorcingulate,0.41075892410758924,0.8675399126753991,-0.015028863840740758
54,rh_precentral,0.8977102289771023,0.938906109389061,0.0029581998258111364
55,rh_precuneus,0.1815818418158184,0.8675399126753991,0.02083212464353079
56,rh_rostralanteriorcingulate,0.6847315268473153,0.9126212378762124,0.009106480801111871
57,rh_rostralmiddlefrontal,0.22917708229177083,0.8675399126753991,-0.021888205518326265
58,rh_superiorfrontal,0.5775422457754225,0.9126212378762124,0.007001901798426413
59,rh_superiorparietal,0.7427257274272573,0.9200123465914278,0.0075346270309585295
60,rh_superiortemporal,0.2595740425957404,0.8675399126753991,0.01692876618612693
61,rh_supramarginal,0.6381361863813618,0.9126212378762124,-0.009878931464098684
62,rh_frontalpole,0.6179382061793821,0.9126212378762124,-0.011140493493687065
63,rh_temporalpole,0.0731926807319268,0.8548478485484785,-0.046282625389014176
64,rh_transversetemporal,0.23717628237176283,0.8675399126753991,-0.027909245123032278
65,rh_insula,0.6103389661033897,0.9126212378762124,-0.008208729041234264
66,LEFT-CEREBELLUM-CORTEX,0.06159384061593841,0.8548478485484785,0.035917515536626476
67,LEFT-THALAMUS-PROPER,0.41995800419958,0.8675399126753991,-0.022219543476107773
68,LEFT-CAUDATE,0.31556844315568444,0.8675399126753991,-0.019783236935796644
69,LEFT-PUTAMEN,0.11358864113588642,0.8675399126753991,-0.03362046914503769
70,LEFT-PALLIDUM,0.12398760123987601,0.8675399126753991,-0.05704621825082401
71,LEFT-HIPPOCAMPUS,0.7521247875212479,0.9200123465914278,0.005170026106337766
72,LEFT-AMYGDALA,0.8543145685431457,0.938906109389061,-0.005610571209377024
73,LEFT-ACCUMBENS-AREA,0.37616238376162386,0.8675399126753991,0.02054130659043718
74,LEFT-VENTRALDC,0.2101789821017898,0.8675399126753991,0.028614889674252686
75,RIGHT-CEREBELLUM-CORTEX,0.7907209279072093,0.9355008161155716,-0.009322844169903255
76,RIGHT-THALAMUS-PROPER,0.9215078492150784,0.938906109389061,0.0017548787028079937
77,RIGHT-CAUDATE,0.07239276072392761,0.8548478485484785,-0.05191561978175202
78,RIGHT-PUTAMEN,0.43995600439956006,0.8675399126753991,-0.015868936337959383
79,RIGHT-PALLIDUM,0.22397760223977603,0.8675399126753991,-0.029195059008193858
80,RIGHT-HIPPOCAMPUS,0.007799220077992201,0.32756724327567244,-0.08433141559243329
81,RIGHT-AMYGDALA,0.17398260173982602,0.8675399126753991,-0.027857966582466642
82,RIGHT-ACCUMBENS-AREA,0.4647535246475352,0.8675399126753991,-0.018021833417780964
83,RIGHT-VENTRALDC,0.09019098090190981,0.8548478485484785,-0.04248495601704272
