index	label	network
1	lh_bankssts	other
2	lh_caudalanteriorcingulate	DAN
3	lh_caudalmiddlefrontal	SAN
4	lh_corpuscallosum	None
5	lh_cuneus	VIS
6	lh_entorhinal	other
7	lh_fusiform	VIS
8	lh_inferiorparietal	other
9	lh_inferiortemporal	DAN
10	lh_isthmuscingulate	DMN
11	lh_lateraloccipital	VIS
12	lh_lateralorbitofrontal	DMN
13	lh_lingual	VIS
14	lh_medialorbitofrontal	DMN
15	lh_middletemporal	DAN
16	lh_parahippocampal	DMN
17	lh_paracentral	other
18	lh_parsopercularis	DAN
19	lh_parsorbitalis	DAN
20	lh_parstriangularis	DAN
21	lh_pericalcarine	other
22	lh_postcentral	other
23	lh_posteriorcingulate	DMN
24	lh_precentral	other
25	lh_precuneus	DMN
26	lh_rostralanteriorcingulate	DMN
27	lh_rostralmiddlefrontal	SAN
28	lh_superiorfrontal	other
29	lh_superiorparietal	other
30	lh_superiortemporal	AUD
31	lh_supramarginal	SAN
32	lh_frontalpole	other
33	lh_temporalpole	other
34	lh_transversetemporal	other
35	lh_insula	SAN
36	LEFT-CEREBRAL-WHITE-MATTER	None
37	rh_bankssts	other
38	rh_caudalanteriorcingulate	DMN
39	rh_caudalmiddlefrontal	SAN
40	rh_corpuscallosum	None
41	rh_cuneus	VIS
42	rh_entorhinal	other
43	rh_fusiform	VIS
44	rh_inferiorparietal	other
45	rh_inferiortemporal	DAN
46	rh_isthmuscingulate	DMN
47	rh_lateraloccipital	VIS
48	rh_lateralorbitofrontal	DMN
49	rh_lingual	VIS
50	rh_medialorbitofrontal	DMN
51	rh_middletemporal	DAN
52	rh_parahippocampal	DMN
53	rh_paracentral	other
54	rh_parsopercularis	DAN
55	rh_parsorbitalis	DAN
56	rh_parstriangularis	DAN
57	rh_pericalcarine	other
58	rh_postcentral	other
59	rh_posteriorcingulate	DMN
60	rh_precentral	other
61	rh_precuneus	DMN
62	rh_rostralanteriorcingulate	DMN
63	rh_rostralmiddlefrontal	SAN
64	rh_superiorfrontal	other
65	rh_superiorparietal	other
66	rh_superiortemporal	AUD
67	rh_supramarginal	SAN
68	rh_frontalpole	other
69	rh_temporalpole	other
70	rh_transversetemporal	other
71	rh_insula	SAN
72	LEFT-CEREBRAL-CORTEX	None
73	LEFT-LATERAL-VENTRICLE	None
74	LEFT-INF-LAT-VENT	None
75	LEFT-CEREBELLUM-WHITE-MATTER	None
76	LEFT-CEREBELLUM-CORTEX	CEREBELLUM
77	LEFT-THALAMUS-PROPER	SUBCORT
78	LEFT-CAUDATE	SUBCORT
79	LEFT-PUTAMEN	SUBCORT
80	LEFT-PALLIDUM	SUBCORT
81	3RD-VENTRICLE	None
82	4TH-VENTRICLE	None
83	BRAIN-STEM	None
84	LEFT-HIPPOCAMPUS	SUBCORT
85	LEFT-AMYGDALA	SUBCORT
86	CSF	None
87	LEFT-ACCUMBENS-AREA	SUBCORT
88	LEFT-VENTRALDC	SUBCORT
89	LEFT-CHOROID-PLEXUS	None
90	RIGHT-CEREBRAL-WHITE-MATTER	None
91	RIGHT-CEREBRAL-CORTEX	None
92	RIGHT-LATERAL-VENTRICLE	None
93	RIGHT-INF-LAT-VENT	None
94	RIGHT-CEREBELLUM-WHITE-MATTER	None
95	RIGHT-CEREBELLUM-CORTEX	CEREBELLUM
96	RIGHT-THALAMUS-PROPER	SUBCORT
97	RIGHT-CAUDATE	SUBCORT
98	RIGHT-PUTAMEN	SUBCORT
99	RIGHT-PALLIDUM	SUBCORT
100	RIGHT-HIPPOCAMPUS	SUBCORT
101	RIGHT-AMYGDALA	SUBCORT
102	RIGHT-ACCUMBENS-AREA	SUBCORT
103	RIGHT-VENTRALDC	SUBCORT
104	RIGHT-CHOROID-PLEXUS	None
105	WM-HYPOINTENSITIES	None
106	OPTIC-CHIASM	None
251	CC_POSTERIOR	None
252	CC_MID_POSTERIOR	None
253	CC_CENTRAL	None
254	CC_MID_ANTERIOR	None
255	CC_ANTERIOR	None
242	RIGHT-VESSEL	None
